u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0000,0.0200,0.0026,0.0026,-7.1144,-2.6364,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0016,0.0006
0.1999,0.0000,0.0400,0.0026,0.0026,-7.1144,-2.6364,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0016,0.0006
0.1999,0.0200,0.0600,0.0026,0.0026,-7.1124,-2.6366,0.0000,0.0000,0.0000,0.0000,0.0199,-0.0021,0.0016,0.0006
0.1999,0.0400,0.0800,0.0026,0.0026,-7.1085,-2.6370,0.0000,0.0000,0.0000,0.0000,0.0398,-0.0042,0.0016,0.0006
0.1999,0.0600,0.1000,0.0025,0.0026,-7.1025,-2.6376,0.0000,0.0000,0.0000,0.0000,0.0596,-0.0063,0.0016,0.0006
0.1999,0.0800,0.1200,0.0025,0.0026,-7.0946,-2.6385,0.0000,0.0000,0.0000,0.0000,0.0795,-0.0084,0.0016,0.0006
0.1999,0.1000,0.1400,0.0024,0.0026,-7.0846,-2.6395,0.0000,0.0000,0.0000,0.0000,0.0994,-0.0105,0.0016,0.0006
0.1999,0.1200,0.1600,0.0023,0.0026,-7.0727,-2.6408,0.0000,0.0000,0.0000,0.0001,0.1193,-0.0127,0.0016,0.0006
0.1999,0.1400,0.1800,0.0021,0.0026,-7.0588,-2.6423,0.0000,0.0000,0.0000,0.0001,0.1392,-0.0148,0.0016,0.0006
0.1999,0.1600,0.2000,0.0020,0.0026,-7.0429,-2.6439,0.0000,0.0000,0.0000,0.0001,0.1591,-0.0169,0.0016,0.0006
0.1999,0.1799,0.2200,0.0018,0.0026,-7.0250,-2.6458,0.0000,0.0000,0.0000,0.0001,0.1789,-0.0190,0.0016,0.0006
0.1999,0.1999,0.2400,0.0017,0.0026,-7.0051,-2.6479,0.0000,0.0000,0.0000,0.0001,0.1988,-0.0211,0.0016,0.0006
0.1999,0.2199,0.2600,0.0015,0.0026,-6.9832,-2.6503,0.0000,0.0000,0.0000,0.0002,0.2187,-0.0232,0.0016,0.0006
0.1999,0.2399,0.2800,0.0014,0.0026,-6.9594,-2.6528,0.0000,0.0000,0.0000,0.0002,0.2386,-0.0253,0.0016,0.0006
0.1999,0.2599,0.3000,0.0013,0.0026,-6.9335,-2.6555,0.0000,0.0000,0.0000,0.0002,0.2585,-0.0274,0.0016,0.0006
0.1999,0.2799,0.3200,0.0012,0.0026,-6.9057,-2.6585,0.0000,0.0000,0.0000,0.0002,0.2784,-0.0295,0.0016,0.0006
0.1999,0.2999,0.3400,0.0011,0.0026,-6.8758,-2.6616,0.0000,0.0000,0.0000,0.0003,0.2982,-0.0316,0.0016,0.0006
0.1999,0.3199,0.3600,0.0010,0.0026,-6.8440,-2.6650,0.0000,0.0000,0.0000,0.0003,0.3181,-0.0337,0.0016,0.0006
0.1999,0.3399,0.3800,0.0009,0.0026,-6.8102,-2.6686,0.0000,0.0001,0.0001,0.0003,0.3380,-0.0358,0.0016,0.0006
0.1999,0.3599,0.4000,0.0008,0.0026,-6.7744,-2.6724,0.0000,0.0001,0.0001,0.0003,0.3579,-0.0379,0.0016,0.0006
0.1999,0.3799,0.4200,0.0007,0.0026,-6.7367,-2.6764,0.0000,0.0001,0.0001,0.0003,0.3778,-0.0400,0.0016,0.0006
0.1999,0.3999,0.4400,0.0007,0.0026,-6.6969,-2.6806,0.0000,0.0001,0.0001,0.0003,0.3977,-0.0421,0.0016,0.0006
0.1999,0.4199,0.4600,0.0006,0.0026,-6.6551,-2.6850,0.0000,0.0001,0.0001,0.0004,0.4175,-0.0442,0.0016,0.0006
0.1999,0.4399,0.4800,0.0005,0.0026,-6.6114,-2.6896,0.0000,0.0001,0.0001,0.0004,0.4374,-0.0463,0.0016,0.0006
